Label;FO;VRP.2014;INVEST.2013;RKB.2013;IIK.2013;ISLED.2013
Белгородская область;ЦФО;619388.1;129137;32877.8;97.3;1465.6
Брянская область;ЦФО;243026;60798;14257.8;91.4;352.1
Владимирская область;ЦФО;327885.3;65292;10675.5;94.8;3647.8
Воронежская область;ЦФО;709068.3;216775;21185.3;94.5;6172.2
Ивановская область;ЦФО;151047;31601;6450.1;95.4;572
Калужская область;ЦФО;324940.7;89849;11770.5;95.8;9316.5
Костромская область;ЦФО;146311.2;22250;3982.1;92.4;101.8
Курская область;ЦФО;297435.6;70742;11456.9;90.3;3013.6
Липецкая область;ЦФО;395700.1;101050;12225.3;96.4;233
Московская область;ЦФО;2705578.7;574601;63021.2;96.3;93252.4
Орловская область;ЦФО;179740.4;43636;6948.2;90;474.5
Рязанская область;ЦФО;297333.9;70860;10927.7;97.8;1400.7
Смоленская область;ЦФО;234732;55869;8333.5;94.7;966.7
Тамбовская область;ЦФО;275820.7;98068;14790.4;87.2;1440.4
Тверская область;ЦФО;307376.7;80524;8614.9;93.1;3595.7
Тульская область;ЦФО;408485;89965;13130.2;91.4;2435.1
Ярославская область;ЦФО;388135.5;74262;12843.5;94;5405.2
г. Москва;ЦФО;12808573.4;1412086;375757.1;100;264751.7
Республика Карелия ;СЗФО;185640.4;29980;5601.7;98.8;897.7
Республика Коми;СЗФО;480862.7;162559;10419.5;96.5;2239.8
Ненецкий автономный округ;СЗФО;183699.8;138048;3032.9;99.2;54.8
Архангельская область ;СЗФО;356433.8;77904;10639.9;96.1;1192.5
Вологодская область;СЗФО;388402.8;59154;10729.8;96.6;362.7
Калининградская область;СЗФО;306232.8;64809;11842.3;94.6;1074.3
Ленинградская область;СЗФО;713965.1;235451;19754.9;96.6;5472.7
Мурманская область;СЗФО;320275.7;61693;5253.1;96.2;2518
Новгородская область;СЗФО;205930.1;52617;7927.1;93.2;1208.7
Псковская область;СЗФО;121303.1;27227;6676.7;92;171.2
г. Санкт-Петербург;СЗФО;2652050.3;366877;101562.8;98;92834.4
Республика Адыгея;ЮФО;77923;15961;2925.5;99.8;170.1
Республика Калмыкия;ЮФО;46044.3;14665;2012.3;96.9;68.2
Краснодарский край;ЮФО;1792048.2;907194;59077.5;96.4;4669.4
Астраханская область;ЮФО;288951.6;115492;5457;89.8;568.8
Волгоградская область;ЮФО;715050.4;132799;14757.2;89.4;5294.1
Ростовская область;ЮФО;1000247.6;242451;27132.5;89.5;9216.4
Республика Дагестан;СКФО;538340.2;178314;10913.4;99.1;893.5
Республика Ингушетия;СКФО;52167.8;13138;4607.9;100;43
Кабардино-Балкарская Республика;СКФО;118134.7;22063;4456.2;99;552.9
Карачаево-Черкесская Республика;СКФО;69195.3;18797;4138.8;85.3;330.6
Республика Северная Осетия – Алания;СКФО;126827.2;28790;3584.6;91.4;372.8
Чеченская Республика;СКФО;141294.8;41167;11150.6;100;271.6
Ставропольский край;СКФО;541188;124305;16875.9;99.6;1231.3
Республика Башкортостан;ПФО;1248817.7;266233;28966.9;97.1;7263.2
Республика Марий Эл;ПФО;144140.6;45126;4259;96;180.7
Республика Мордовия;ПФО;170905.6;53699;10730.9;90.3;906.9
Республика Татарстан;ПФО;1671397.1;520228;55425.1;98.5;11125.8
Удмуртская Республика;ПФО;441959.1;71820;10942.7;95.2;1147.8
Чувашская Республика;ПФО;235088.8;59139;7633.1;96.2;1422.4
Пермский край;ПФО;967858;188719;19058.5;95.8;12188.8
Кировская область;ПФО;250340.3;56836;11097.6;91.3;1077.6
Нижегородская область;ПФО;1018351.5;272212;26250.7;96.9;43268.4
Оренбургская область;ПФО;731287.6;152573;16047.8;98.9;570
Пензенская область;ПФО;297671.4;80775;11516.1;96.3;4539.5
Самарская область;ПФО;1151955.3;262326;31318.1;79.3;18953.8
Саратовская область;ПФО;562261.6;122181;11465.8;95.3;2843.2
Ульяновская область;ПФО;279040.4;76244;6825.7;91.4;8706.4
Курганская область;УФО;168961.1;29954;6020.3;93.3;267.1
Свердловская область;УФО;1661431;350637;36555.7;98.4;21428.1
Ханты-Мансийский автономный округ – Югра;УФО;2826064.9;720065;24646;97.9;2714.3
Ямало-Ненецкий автономный округ;УФО;1611554.2;504395;30470.6;96.6;77.1
Тюменская область ;УФО;740871;277954;64811.8;92.3;6393.4
Челябинская область;УФО;992866.4;211001;23369.3;92;14287
Республика Алтай;СФО;39134.5;11749;2784.8;96.3;94.8
Республика Бурятия;СФО;184815.6;39606;9123.1;93.6;887.4
Республика Тыва;СФО;46707.3;12651;3591.2;89.1;246.8
Республика Хакасия;СФО;160435;30448;3093.1;98.7;70.2
Алтайский край;СФО;447906.9;92930;17869;88.4;1578.6
Забайкальский край;СФО;227582.4;52947;8644.7;97.5;321.8
Красноярский край;СФО;1423247.4;369298;31887.3;95.8;10137.8
Иркутская область;СФО;907400.8;170834;18642.5;96.7;4684
Кемеровская область;СФО;747414.6;215640;18483.2;94.2;1103.1
Новосибирская область;СФО;895289.8;174595;27374.1;89.9;16358.9
Омская область;СФО;598911.6;104963;15825.3;87;3320.5
Томская область;СФО;428066.7;102036;9311.4;87;8862.5
Республика Саха (Якутия);ДФО;660150;193853;23851.1;94.5;2315.9
Камчатский край;ДФО;145419.9;32607;13055.6;98.2;1265.1
Приморский край;ДФО;643464.9;113094;17004.6;91.1;4932.5
Хабаровский край;ДФО;549289.3;136972;15745;98.1;1413.4
Амурская область;ДФО;235388.8;115831;17970;87.2;494.1
Магаданская область;ДФО;97015.6;32171;4529.3;96.6;900.1
Сахалинская область;ДФО;793481.6;168079;21232.6;93.6;1010.7
Еврейская автономная область;ДФО;41741.8;11430;2808.2;91.4;93.4
